$STOPPOINT:ID
01099
01222
00491
00717
00582
00619
00861
00552
00272
01631
00107
01872
00253
00629
01104
01234
00649
00851
01184
00596
00005
00753
00165
00733
00672
01284
00209
00379
00767
01086
00886
00494
00542
00764
00605
00935
00995
00151
00266
00628
00560
00566
01388
00885
00426
01014
00103
00004
00989
01341
00637
00020
00980
00144
00813
01123
00116
00655
00634
00488
01051
00288
00486
01862
00248
00346
01357
$SERVICEJOURNEY:ID;FromStopID;ToStopID;DepTime;ArrTime;Distance
02293986;00885;01631;000:08:08:00;000:09:08:00;18000
02294064;01631;00885;000:08:20:00;000:09:19:00;17700
02294103;00885;01631;000:08:28:00;000:09:28:00;18000
02294052;01631;00885;000:08:40:00;000:09:39:00;17700
02294089;00885;01631;000:08:48:00;000:09:48:00;18000
02294041;01631;00885;000:09:00:00;000:09:59:00;17700
02294075;00885;01631;000:09:08:00;000:10:08:00;18000
02294030;01631;00885;000:09:20:00;000:10:19:00;17700
02294063;00885;01631;000:09:28:00;000:10:28:00;18000
02294019;01631;00885;000:09:40:00;000:10:39:00;17700
02294051;00885;01631;000:09:48:00;000:10:48:00;18000
02294009;01631;00885;000:10:00:00;000:10:59:00;17700
02294039;00885;01631;000:10:08:00;000:11:08:00;18000
02293985;01631;00885;000:10:20:00;000:11:19:00;17700
02294029;00885;01631;000:10:28:00;000:11:28:00;18000
02294101;01631;00885;000:10:40:00;000:11:39:00;17700
02294018;00885;01631;000:10:48:00;000:11:48:00;18000
02294088;01631;00885;000:11:00:00;000:11:59:00;17700
02294008;00885;01631;000:11:08:00;000:12:08:00;18000
02294074;01631;00885;000:11:20:00;000:12:19:00;17700
02293984;00885;01631;000:11:28:00;000:12:28:00;18000
02294062;01631;00885;000:11:40:00;000:12:39:00;17700
02294099;00885;01631;000:11:48:00;000:12:48:00;18000
02294050;01631;00885;000:12:00:00;000:12:59:00;17700
02294087;00885;01631;000:12:08:00;000:13:08:00;18000
02294038;01631;00885;000:12:20:00;000:13:19:00;17700
02294073;00885;01631;000:12:28:00;000:13:28:00;18000
02294027;01631;00885;000:12:40:00;000:13:39:00;17700
02294061;00885;01631;000:12:48:00;000:13:48:00;18000
02294017;01631;00885;000:13:00:00;000:13:59:00;17700
02294049;00885;01631;000:13:08:00;000:14:08:00;18000
02294007;01631;00885;000:13:20:00;000:14:19:00;17700
02294037;00885;01631;000:13:28:00;000:14:28:00;18000
02293983;01631;00885;000:13:40:00;000:14:39:00;17700
02294026;00885;01631;000:13:48:00;000:14:48:00;18000
02294097;01631;00885;000:14:00:00;000:14:59:00;17700
02294016;00885;01631;000:14:08:00;000:15:08:00;18000
02294085;01631;00885;000:14:20:00;000:15:19:00;17700
02294006;00885;01631;000:14:28:00;000:15:28:00;18000
02294072;01631;00885;000:14:40:00;000:15:39:00;17700
02293982;00885;01631;000:14:48:00;000:15:48:00;18000
02294060;01631;00885;000:15:00:00;000:15:59:00;17700
02294095;00885;01631;000:15:08:00;000:16:08:00;18000
02294048;01631;00885;000:15:20:00;000:16:19:00;17700
02294083;00885;01631;000:15:28:00;000:16:28:00;18000
02294036;01631;00885;000:15:40:00;000:16:39:00;17700
02294071;00885;01631;000:15:48:00;000:16:48:00;18000
02294025;01631;00885;000:16:00:00;000:16:59:00;17700
02294059;00885;01631;000:16:08:00;000:17:08:00;18000
02294015;01631;00885;000:16:20:00;000:17:19:00;17700
02294047;00885;01631;000:16:28:00;000:17:28:00;18000
02293991;01631;00885;000:16:40:00;000:17:39:00;17700
02294035;00885;01631;000:16:48:00;000:17:48:00;18000
02293981;01631;00885;000:17:00:00;000:17:59:00;17700
02294024;00885;01631;000:17:08:00;000:18:08:00;18000
02294094;01631;00885;000:17:20:00;000:18:19:00;17700
02294014;00885;01631;000:17:28:00;000:18:28:00;18000
02294082;01631;00885;000:17:40:00;000:18:39:00;17700
02293990;00885;01631;000:17:48:00;000:18:48:00;18000
02294069;01631;00885;000:18:00:00;000:18:59:00;17700
02293980;00885;01631;000:18:08:00;000:19:08:00;18000
02294058;01631;00885;000:18:20:00;000:19:19:00;17700
02294093;00885;01631;000:18:28:00;000:19:28:00;18000
02294046;01631;00885;000:18:40:00;000:19:39:00;17700
02294080;00885;01631;000:18:48:00;000:19:48:00;18000
02294034;01631;00885;000:19:00:00;000:19:59:00;17700
02294067;00885;01631;000:19:08:00;000:20:08:00;18000
02294023;01631;00885;000:19:20:00;000:20:19:00;17700
02294057;00885;01631;000:19:28:00;000:20:28:00;18000
02294013;01631;00885;000:19:40:00;000:20:39:00;17700
02294045;00885;00346;000:19:48:00;000:20:36:00;14400
02293989;01631;00885;000:20:00:00;000:20:59:00;17700
02294033;00885;00649;000:20:08:00;000:20:41:00;9900
02293979;01631;00649;000:20:20:00;000:20:44:00;7200
02294022;00885;01222;000:20:28:00;000:20:41:00;3900
02293977;00885;01222;000:20:48:00;000:21:01:00;3900
02293948;01222;00885;000:21:04:00;000:21:17:00;3900
02293947;00885;01222;000:21:18:00;000:21:31:00;3900
02293946;01222;00885;000:21:34:00;000:21:47:00;3900
02293945;00885;01222;000:21:48:00;000:22:01:00;3900
02293944;01222;00885;000:22:04:00;000:22:17:00;3900
02293943;00885;01222;000:22:18:00;000:22:31:00;3900
02293942;01222;00885;000:22:34:00;000:22:47:00;3900
02293941;00885;01222;000:22:48:00;000:23:01:00;3900
02293940;01222;00885;000:23:04:00;000:23:17:00;3900
02293939;00885;01222;000:23:18:00;000:23:31:00;3900
02293938;01222;00885;000:23:34:00;000:23:47:00;3900
02293937;00885;01222;000:23:48:00;001:00:01:00;3900
02293936;01222;00885;001:00:04:00;001:00:17:00;3900
02293935;00885;01222;001:00:18:00;001:00:31:00;3900
02294109;01222;00885;001:00:34:00;001:00:47:00;3900
02622141;00103;00851;000:04:53:00;000:05:19:00;7800
02622336;00851;00103;000:05:08:00;000:05:30:00;6600
02622226;00103;00851;000:05:13:00;000:05:39:00;7800
02622140;00851;00103;000:05:28:00;000:05:50:00;6600
02622335;00103;00851;000:05:33:00;000:05:59:00;7800
02622225;00851;00103;000:05:48:00;000:06:10:00;6600
02622139;00103;00851;000:05:53:00;000:06:19:00;7800
02622334;00851;00103;000:06:08:00;000:06:30:00;6600
02622224;00103;00851;000:06:13:00;000:06:39:00;7800
02622282;00103;00851;000:06:23:00;000:06:49:00;7800
02622138;00851;00103;000:06:28:00;000:06:50:00;6600
02622333;00103;00851;000:06:33:00;000:06:59:00;7800
02622305;00103;00851;000:06:43:00;000:07:09:00;7800
02622223;00851;00103;000:06:48:00;000:07:10:00;6600
02622137;00103;00851;000:06:53:00;000:07:19:00;7800
02622281;00851;00103;000:06:58:00;000:07:20:00;6600
02622164;00103;00851;000:07:03:00;000:07:29:00;7800
02622332;00851;00103;000:07:08:00;000:07:30:00;6600
02622222;00103;00851;000:07:13:00;000:07:39:00;7800
02622304;00851;00103;000:07:18:00;000:07:40:00;6600
02622280;00103;00851;000:07:23:00;000:07:49:00;7800
02622136;00851;00103;000:07:28:00;000:07:50:00;6600
02622331;00103;00851;000:07:33:00;000:07:59:00;7800
02622163;00851;00103;000:07:38:00;000:08:00:00;6600
02622303;00103;00851;000:07:43:00;000:08:09:00;7800
02622221;00851;00103;000:07:48:00;000:08:10:00;6600
02622135;00103;00851;000:07:53:00;000:08:19:00;7800
02622279;00851;00103;000:07:58:00;000:08:20:00;6600
02622162;00103;00851;000:08:03:00;000:08:29:00;7800
02622330;00851;00103;000:08:08:00;000:08:30:00;6600
02622220;00103;00851;000:08:13:00;000:08:39:00;7800
02622302;00851;00103;000:08:18:00;000:08:40:00;6600
02622278;00103;00851;000:08:23:00;000:08:49:00;7800
02622134;00851;00103;000:08:28:00;000:08:50:00;6600
02622329;00103;00851;000:08:33:00;000:08:59:00;7800
02622161;00851;00103;000:08:38:00;000:09:00:00;6600
02622301;00103;00851;000:08:43:00;000:09:09:00;7800
02622219;00851;00103;000:08:48:00;000:09:10:00;6600
02622359;00103;00851;000:08:50:00;000:09:16:00;7800
02622133;00103;00851;000:08:56:00;000:09:22:00;7800
02622277;00851;00103;000:08:58:00;000:09:20:00;6600
02622160;00103;00851;000:09:03:00;000:09:29:00;7800
02622328;00851;00103;000:09:08:00;000:09:30:00;6600
02622196;00103;00851;000:09:10:00;000:09:36:00;7800
02622300;00851;00103;000:09:15:00;000:09:37:00;6600
02622218;00103;00851;000:09:16:00;000:09:42:00;7800
02622358;00851;00103;000:09:21:00;000:09:43:00;6600
02622258;00103;00851;000:09:23:00;000:09:49:00;7800
02622132;00851;00103;000:09:28:00;000:09:50:00;6600
02622276;00103;00851;000:09:30:00;000:09:56:00;7800
02622159;00851;00103;000:09:35:00;000:09:57:00;6600
02622327;00103;00851;000:09:36:00;000:10:02:00;7800
02622195;00851;00103;000:09:41:00;000:10:03:00;6600
02622299;00103;00851;000:09:43:00;000:10:09:00;7800
02622217;00851;00103;000:09:48:00;000:10:10:00;6600
02622357;00103;00851;000:09:50:00;000:10:16:00;7800
02622257;00851;00103;000:09:55:00;000:10:17:00;6600
02622131;00103;00851;000:09:56:00;000:10:22:00;7800
02622275;00851;00103;000:10:01:00;000:10:23:00;6600
02622158;00103;00851;000:10:03:00;000:10:29:00;7800
02622326;00851;00103;000:10:08:00;000:10:30:00;6600
02622194;00103;00851;000:10:10:00;000:10:36:00;7800
02622298;00851;00103;000:10:15:00;000:10:37:00;6600
02622216;00103;00851;000:10:16:00;000:10:42:00;7800
02622356;00851;00103;000:10:21:00;000:10:43:00;6600
02622256;00103;00851;000:10:23:00;000:10:49:00;7800
02622130;00851;00103;000:10:28:00;000:10:50:00;6600
02622274;00103;00851;000:10:30:00;000:10:56:00;7800
02622157;00851;00103;000:10:35:00;000:10:57:00;6600
02622325;00103;00851;000:10:36:00;000:11:02:00;7800
02622193;00851;00103;000:10:41:00;000:11:03:00;6600
02622297;00103;00851;000:10:43:00;000:11:09:00;7800
02622215;00851;00103;000:10:48:00;000:11:10:00;6600
02622355;00103;00851;000:10:50:00;000:11:16:00;7800
02622255;00851;00103;000:10:55:00;000:11:17:00;6600
02622129;00103;00851;000:10:56:00;000:11:22:00;7800
02622273;00851;00103;000:11:01:00;000:11:23:00;6600
02622156;00103;00851;000:11:03:00;000:11:29:00;7800
02622324;00851;00103;000:11:08:00;000:11:30:00;6600
02622192;00103;00851;000:11:10:00;000:11:36:00;7800
02622296;00851;00103;000:11:15:00;000:11:37:00;6600
02622214;00103;00851;000:11:16:00;000:11:42:00;7800
02622354;00851;00103;000:11:21:00;000:11:43:00;6600
02622254;00103;00851;000:11:23:00;000:11:49:00;7800
02622128;00851;00103;000:11:28:00;000:11:50:00;6600
02622272;00103;00851;000:11:30:00;000:11:56:00;7800
02622155;00851;00103;000:11:35:00;000:11:57:00;6600
02622323;00103;00851;000:11:36:00;000:12:02:00;7800
02622191;00851;00103;000:11:41:00;000:12:03:00;6600
02622295;00103;00851;000:11:43:00;000:12:09:00;7800
02622213;00851;00103;000:11:48:00;000:12:10:00;6600
02622353;00103;00851;000:11:50:00;000:12:16:00;7800
02622253;00851;00103;000:11:55:00;000:12:17:00;6600
02622127;00103;00851;000:11:56:00;000:12:22:00;7800
02622271;00851;00103;000:12:01:00;000:12:23:00;6600
02622154;00103;00851;000:12:03:00;000:12:29:00;7800
02622322;00851;00103;000:12:08:00;000:12:30:00;6600
02622190;00103;00851;000:12:10:00;000:12:36:00;7800
02622294;00851;00103;000:12:15:00;000:12:37:00;6600
02622212;00103;00851;000:12:16:00;000:12:42:00;7800
02622352;00851;00103;000:12:21:00;000:12:43:00;6600
02622252;00103;00851;000:12:23:00;000:12:49:00;7800
02622126;00851;00103;000:12:28:00;000:12:50:00;6600
02622270;00103;00851;000:12:30:00;000:12:56:00;7800
02622153;00851;00103;000:12:35:00;000:12:57:00;6600
02622321;00103;00851;000:12:36:00;000:13:02:00;7800
02622189;00851;00103;000:12:41:00;000:13:03:00;6600
02622293;00103;00851;000:12:43:00;000:13:09:00;7800
02622211;00851;00103;000:12:48:00;000:13:10:00;6600
02622351;00103;00851;000:12:50:00;000:13:16:00;7800
02622251;00851;00103;000:12:55:00;000:13:17:00;6600
02622125;00103;00851;000:12:56:00;000:13:22:00;7800
02622269;00851;00103;000:13:01:00;000:13:23:00;6600
02622152;00103;00851;000:13:03:00;000:13:29:00;7800
02622320;00851;00103;000:13:08:00;000:13:30:00;6600
02622188;00103;00851;000:13:10:00;000:13:36:00;7800
02622292;00851;00103;000:13:15:00;000:13:37:00;6600
02622210;00103;00851;000:13:16:00;000:13:42:00;7800
02622350;00851;00103;000:13:21:00;000:13:43:00;6600
02622250;00103;00851;000:13:23:00;000:13:49:00;7800
02622124;00851;00103;000:13:28:00;000:13:50:00;6600
02622268;00103;00851;000:13:30:00;000:13:56:00;7800
02622151;00851;00103;000:13:35:00;000:13:57:00;6600
02622319;00103;00851;000:13:36:00;000:14:02:00;7800
02622187;00851;00103;000:13:41:00;000:14:03:00;6600
02622291;00103;00851;000:13:43:00;000:14:09:00;7800
02622209;00851;00103;000:13:48:00;000:14:10:00;6600
02622349;00103;00851;000:13:50:00;000:14:16:00;7800
02622249;00851;00103;000:13:55:00;000:14:17:00;6600
02622123;00103;00851;000:13:56:00;000:14:22:00;7800
02622267;00851;00103;000:14:01:00;000:14:23:00;6600
02622150;00103;00851;000:14:03:00;000:14:29:00;7800
02622318;00851;00103;000:14:08:00;000:14:30:00;6600
02622186;00103;00851;000:14:10:00;000:14:36:00;7800
02622290;00851;00103;000:14:15:00;000:14:37:00;6600
02622208;00103;00851;000:14:16:00;000:14:42:00;7800
02622348;00851;00103;000:14:21:00;000:14:43:00;6600
02622248;00103;00851;000:14:23:00;000:14:49:00;7800
02622122;00851;00103;000:14:28:00;000:14:50:00;6600
02622266;00103;00851;000:14:30:00;000:14:56:00;7800
02622149;00851;00103;000:14:35:00;000:14:57:00;6600
02622317;00103;00851;000:14:36:00;000:15:02:00;7800
02622185;00851;00103;000:14:41:00;000:15:03:00;6600
02622289;00103;00851;000:14:43:00;000:15:09:00;7800
02622207;00851;00103;000:14:48:00;000:15:10:00;6600
02622347;00103;00851;000:14:50:00;000:15:16:00;7800
02622247;00851;00103;000:14:55:00;000:15:17:00;6600
02622121;00103;00851;000:14:56:00;000:15:22:00;7800
02622265;00851;00103;000:15:01:00;000:15:23:00;6600
02622148;00103;00851;000:15:03:00;000:15:29:00;7800
02622316;00851;00103;000:15:08:00;000:15:30:00;6600
02622184;00103;00851;000:15:10:00;000:15:36:00;7800
02622288;00851;00103;000:15:15:00;000:15:37:00;6600
02622206;00103;00851;000:15:16:00;000:15:42:00;7800
02622346;00851;00103;000:15:21:00;000:15:43:00;6600
02622246;00103;00851;000:15:23:00;000:15:49:00;7800
02622120;00851;00103;000:15:28:00;000:15:50:00;6600
02622264;00103;00851;000:15:30:00;000:15:56:00;7800
02622147;00851;00103;000:15:35:00;000:15:57:00;6600
02622315;00103;00851;000:15:36:00;000:16:02:00;7800
02622183;00851;00103;000:15:41:00;000:16:03:00;6600
02622287;00103;00851;000:15:43:00;000:16:09:00;7800
02622205;00851;00103;000:15:48:00;000:16:10:00;6600
02622345;00103;00851;000:15:50:00;000:16:16:00;7800
02622245;00851;00103;000:15:55:00;000:16:17:00;6600
02622119;00103;00851;000:15:56:00;000:16:22:00;7800
02622263;00851;00103;000:16:01:00;000:16:23:00;6600
02622146;00103;00851;000:16:03:00;000:16:29:00;7800
02622314;00851;00103;000:16:08:00;000:16:30:00;6600
02622182;00103;00851;000:16:10:00;000:16:36:00;7800
02622286;00851;00103;000:16:15:00;000:16:37:00;6600
02622204;00103;00851;000:16:16:00;000:16:42:00;7800
02622344;00851;00103;000:16:21:00;000:16:43:00;6600
02622244;00103;00851;000:16:23:00;000:16:49:00;7800
02622118;00851;00103;000:16:28:00;000:16:50:00;6600
02622262;00103;00851;000:16:30:00;000:16:56:00;7800
02622145;00851;00103;000:16:35:00;000:16:57:00;6600
02622313;00103;00851;000:16:36:00;000:17:02:00;7800
02622181;00851;00103;000:16:41:00;000:17:03:00;6600
02622285;00103;00851;000:16:43:00;000:17:09:00;7800
02622203;00851;00103;000:16:48:00;000:17:10:00;6600
02622343;00103;00851;000:16:50:00;000:17:16:00;7800
02622243;00851;00103;000:16:55:00;000:17:17:00;6600
02622117;00103;00851;000:16:56:00;000:17:22:00;7800
02622261;00851;00103;000:17:01:00;000:17:23:00;6600
02622144;00103;00851;000:17:03:00;000:17:29:00;7800
02622312;00851;00103;000:17:08:00;000:17:30:00;6600
02622180;00103;00851;000:17:10:00;000:17:36:00;7800
02622284;00851;00103;000:17:15:00;000:17:37:00;6600
02622202;00103;00851;000:17:16:00;000:17:42:00;7800
02622342;00851;00103;000:17:21:00;000:17:43:00;6600
02622242;00103;00851;000:17:23:00;000:17:49:00;7800
02622116;00851;00103;000:17:28:00;000:17:50:00;6600
02622260;00103;00851;000:17:30:00;000:17:56:00;7800
02622143;00851;00103;000:17:35:00;000:17:57:00;6600
02622311;00103;00851;000:17:36:00;000:18:02:00;7800
02622179;00851;00103;000:17:41:00;000:18:03:00;6600
02622283;00103;00851;000:17:43:00;000:18:09:00;7800
02622201;00851;00103;000:17:48:00;000:18:10:00;6600
02622341;00103;00851;000:17:50:00;000:18:16:00;7800
02622241;00851;00103;000:17:55:00;000:18:17:00;6600
02622115;00103;00851;000:17:56:00;000:18:22:00;7800
02622259;00851;00103;000:18:01:00;000:18:23:00;6600
02622142;00103;00851;000:18:03:00;000:18:29:00;7800
02622310;00851;00103;000:18:08:00;000:18:30:00;6600
02622178;00103;00851;000:18:10:00;000:18:36:00;7800
02622200;00103;00851;000:18:16:00;000:18:42:00;7800
02622340;00851;00103;000:18:18:00;000:18:40:00;6600
02622240;00103;00851;000:18:23:00;000:18:49:00;7800
02621849;00851;00103;000:18:28:00;000:18:50:00;6600
02622309;00103;00851;000:18:33:00;000:18:59:00;7800
02622177;00851;00103;000:18:38:00;000:19:00:00;6600
02622339;00103;00851;000:18:43:00;000:19:09:00;7800
02622199;00851;00103;000:18:48:00;000:19:10:00;6600
02621848;00103;00851;000:18:53:00;000:19:19:00;7800
02622239;00851;00103;000:18:58:00;000:19:20:00;6600
02622176;00103;00851;000:19:03:00;000:19:29:00;7800
02622308;00851;00103;000:19:08:00;000:19:30:00;6600
02622198;00103;00851;000:19:13:00;000:19:39:00;7800
02622338;00851;00103;000:19:18:00;000:19:40:00;6600
02622238;00103;00851;000:19:23:00;000:19:49:00;7800
02621847;00851;00103;000:19:28:00;000:19:50:00;6600
02622307;00103;00851;000:19:33:00;000:19:59:00;7800
02622175;00851;00103;000:19:38:00;000:20:00:00;6600
02622337;00103;00851;000:19:43:00;000:20:09:00;7800
02622197;00851;00103;000:19:48:00;000:20:10:00;6600
02621846;00103;00851;000:19:53:00;000:20:19:00;7800
02622237;00851;00103;000:19:58:00;000:20:20:00;6600
02622174;00103;00851;000:20:03:00;000:20:29:00;7800
02622306;00851;00103;000:20:08:00;000:20:30:00;6600
02621845;00851;00103;000:20:21:00;000:20:41:00;6000
02622236;00103;00851;000:20:23:00;000:20:49:00;7800
02622173;00851;00103;000:20:41:00;000:21:01:00;6000
02621844;00103;00851;000:20:44:00;000:21:07:00;6900
02622235;00851;00103;000:21:01:00;000:21:21:00;6000
02622172;00103;00851;000:21:04:00;000:21:27:00;6900
02621843;00851;00103;000:21:21:00;000:21:41:00;6000
02622234;00103;00851;000:21:24:00;000:21:47:00;6900
02622171;00851;00103;000:21:41:00;000:22:01:00;6000
02621842;00103;00851;000:21:44:00;000:22:07:00;6900
02622233;00851;00103;000:22:01:00;000:22:21:00;6000
02622170;00103;00851;000:22:04:00;000:22:27:00;6900
02621841;00851;00103;000:22:21:00;000:22:41:00;6000
02622232;00103;00851;000:22:24:00;000:22:47:00;6900
02622169;00851;00103;000:22:41:00;000:23:01:00;6000
02621840;00103;00851;000:22:44:00;000:23:07:00;6900
02622231;00851;00103;000:23:01:00;000:23:21:00;6000
02622168;00103;00851;000:23:04:00;000:23:27:00;6900
02621839;00851;00103;000:23:21:00;000:23:41:00;6000
02622230;00103;00851;000:23:24:00;000:23:47:00;6900
02622167;00851;00103;000:23:41:00;001:00:01:00;6000
02621838;00103;00851;000:23:44:00;001:00:07:00;6900
02622229;00851;00103;001:00:01:00;001:00:21:00;6000
02622166;00103;00851;001:00:04:00;001:00:27:00;6900
02621727;00851;00103;001:00:21:00;001:00:41:00;6000
02622228;00103;00851;001:00:24:00;001:00:47:00;6900
02622165;00851;00103;001:00:41:00;001:01:01:00;6000
02621562;00103;00851;001:00:44:00;001:01:07:00;6900
02622227;00851;00103;001:01:01:00;001:01:21:00;6000
02621449;00851;00103;001:01:21:00;001:01:45:00;7200
02687608;00813;00753;000:04:44:00;000:05:21:00;11100
02687562;00426;00753;000:04:54:00;000:05:51:00;17100
02687434;00753;00426;000:04:59:00;000:06:02:00;18900
02687576;01234;00753;000:05:01:00;000:05:41:00;12000
02687498;01234;00426;000:05:14:00;000:05:32:00;5400
02687530;00426;00753;000:05:14:00;000:06:11:00;17100
02687627;00753;00426;000:05:19:00;000:06:22:00;18900
02687548;01234;00753;000:05:21:00;000:06:01:00;12000
02687607;00753;00426;000:05:29:00;000:06:32:00;18900
02687466;01234;00426;000:05:34:00;000:05:52:00;5400
02687497;00426;00753;000:05:34:00;000:06:31:00;17100
02687594;00753;00426;000:05:39:00;000:06:42:00;18900
02687516;01234;00753;000:05:41:00;000:06:21:00;12000
02687420;00491;00426;000:05:44:00;000:06:12:00;8400
02687575;00753;00426;000:05:49:00;000:06:52:00;18900
02687465;00426;00753;000:05:54:00;000:06:51:00;17100
02687561;00753;00426;000:05:59:00;000:07:02:00;18900
02687484;01234;00753;000:06:01:00;000:06:41:00;12000
02687452;00426;00753;000:06:04:00;000:07:01:00;17100
02687547;00753;00426;000:06:09:00;000:07:12:00;18900
02687433;00426;00753;000:06:14:00;000:07:11:00;17100
02687529;00753;00426;000:06:19:00;000:07:22:00;18900
02687419;00426;00753;000:06:24:00;000:07:21:00;17100
02687515;00753;00426;000:06:29:00;000:07:32:00;18900
02687626;00426;00753;000:06:34:00;000:07:31:00;17100
02687496;00753;00426;000:06:39:00;000:07:42:00;18900
02687606;00426;00753;000:06:44:00;000:07:41:00;17100
02687483;00753;00426;000:06:49:00;000:07:52:00;18900
02687593;00426;00753;000:06:54:00;000:07:51:00;17100
02687464;00753;00426;000:06:59:00;000:08:02:00;18900
02687574;00426;00753;000:07:04:00;000:08:01:00;17100
02687451;00753;00426;000:07:09:00;000:08:12:00;18900
02687560;00426;00753;000:07:14:00;000:08:11:00;17100
02687432;00753;00426;000:07:19:00;000:08:22:00;18900
02687546;00426;00753;000:07:24:00;000:08:21:00;17100
02687418;00753;00426;000:07:29:00;000:08:32:00;18900
02687528;00426;00753;000:07:34:00;000:08:31:00;17100
02687625;00753;00426;000:07:39:00;000:08:42:00;18900
02687514;00426;00753;000:07:44:00;000:08:41:00;17100
02687605;00753;00426;000:07:49:00;000:08:52:00;18900
02687495;00426;00753;000:07:54:00;000:08:51:00;17100
02687592;00753;00426;000:07:59:00;000:09:02:00;18900
02687482;00426;00753;000:08:04:00;000:09:01:00;17100
02687573;00753;00426;000:08:09:00;000:09:12:00;18900
02687463;00426;00753;000:08:14:00;000:09:11:00;17100
02687559;00753;00426;000:08:19:00;000:09:22:00;18900
02687450;00426;00753;000:08:24:00;000:09:21:00;17100
02687545;00753;00426;000:08:29:00;000:09:32:00;18900
02687431;00426;00753;000:08:34:00;000:09:31:00;17100
02687527;00753;00426;000:08:39:00;000:09:42:00;18900
02687417;00426;00753;000:08:44:00;000:09:41:00;17100
02687513;00753;00426;000:08:49:00;000:09:52:00;18900
02687624;00426;00753;000:08:54:00;000:09:51:00;17100
02687494;00753;00426;000:08:59:00;000:10:02:00;18900
02687604;00426;00753;000:09:04:00;000:10:01:00;17100
02687481;00753;00426;000:09:09:00;000:10:12:00;18900
02687591;00426;00753;000:09:14:00;000:10:11:00;17100
02687462;00753;00426;000:09:19:00;000:10:22:00;18900
02687572;00426;00753;000:09:24:00;000:10:21:00;17100
02687449;00753;00426;000:09:29:00;000:10:32:00;18900
02687558;00426;00753;000:09:34:00;000:10:31:00;17100
02687430;00753;00426;000:09:39:00;000:10:42:00;18900
02687544;00426;00753;000:09:44:00;000:10:41:00;17100
02687416;00753;00426;000:09:49:00;000:10:52:00;18900
02687526;00426;00753;000:09:54:00;000:10:51:00;17100
02687623;00753;00426;000:09:59:00;000:11:02:00;18900
02687512;00426;00753;000:10:04:00;000:11:01:00;17100
02687603;00753;00426;000:10:09:00;000:11:12:00;18900
02687493;00426;00753;000:10:14:00;000:11:11:00;17100
02687590;00753;00426;000:10:19:00;000:11:22:00;18900
02687480;00426;00753;000:10:24:00;000:11:21:00;17100
02687571;00753;00426;000:10:29:00;000:11:32:00;18900
02687461;00426;00753;000:10:34:00;000:11:31:00;17100
02687557;00753;00426;000:10:39:00;000:11:42:00;18900
02687448;00426;00753;000:10:44:00;000:11:41:00;17100
02687543;00753;00426;000:10:49:00;000:11:52:00;18900
02687429;00426;00753;000:10:54:00;000:11:51:00;17100
02687525;00753;00426;000:10:59:00;000:12:02:00;18900
02687415;00426;00753;000:11:04:00;000:12:01:00;17100
02687511;00753;00426;000:11:09:00;000:12:12:00;18900
02687622;00426;00753;000:11:14:00;000:12:11:00;17100
02687492;00753;00426;000:11:19:00;000:12:22:00;18900
02687602;00426;00753;000:11:24:00;000:12:21:00;17100
02687479;00753;00426;000:11:29:00;000:12:32:00;18900
02687589;00426;00753;000:11:34:00;000:12:31:00;17100
02687460;00753;00426;000:11:39:00;000:12:42:00;18900
02687570;00426;00753;000:11:44:00;000:12:41:00;17100
02687447;00753;00426;000:11:49:00;000:12:52:00;18900
